"dominant_cuisine","locations_dominated","pct_of_all_locations","total_restaurants_as_dominant","avg_count_per_location"
"North Indian","61","65.6","10829","178"
"South Indian","14","15.1","948","68"
"Cafe","6","6.5","653","109"
"Fast Food","4","4.3","36","9"
"Chinese","3","3.2","14","5"
"American","1","1.1","6","6"
"Italian","1","1.1","22","22"
"Kerala","1","1.1","2","2"
"Biryani","1","1.1","2","2"
"Arabian","1","1.1","5","5"
