"service_type","total_restaurants","pct_of_platform","avg_rating","median_rating","vs_platform_avg","avg_cost","median_cost","avg_votes","also_book_table_pct","quality_score_pct","excellent_pct","poor_pct","unrated_pct","value_score"
"Online Ordering","30874","60.5","3.72","3.80","0.02","523","400","305","12.2","75.4","19.6","4.4","10.7","0.711"
"Dine-in Only","20168","39.5","3.67","3.70","-0.03","607","400","254","13.0","66.7","15.2","4.2","32.4","0.605"
