"vote_bucket","total_restaurants","avg_votes","avg_rating","unrated_count","unrated_pct","quality_score_pct","min_rating","max_rating"
"1. Minimal   (0 – 10)","15434","2","3.31","9824","63.7","17.6","2.7","4.3"
"2. Low       (11 – 100)","17467","41","3.55","2","0.0","71.4","2.2","4.5"
"3. Moderate  (101 – 500)","11400","236","3.83","16","0.1","86.1","1.8","4.9"
"4. Good      (501 – 1,000)","3131","708","4.08","0","0.0","96.6","2.5","4.9"
"5. High      (1,001 – 5,000)","3376","2062","4.26","10","0.3","99.8","2.8","4.9"
"6. Very High  (5,001+)","234","8116","4.52","0","0.0","100.0","4.1","4.9"
