"price_category","total_restaurants","avg_rate","excellent_count","excellent_pct","good_count","good_pct","average_count","average_pct","poor_count","poor_pct","unrated_count","unrated_pct","quality_score_pct"
"Budget","7114","3.55","373","5.2","2551","35.9","1672","23.5","245","3.4","2273","32.0","60.4"
"Mid-range","3708","3.62","501","13.5","1681","45.3","684","18.4","295","8.0","547","14.8","69.0"
"Premium","1215","3.99","597","49.1","430","35.4","91","7.5","38","3.1","59","4.9","88.8"
