"price_category","total_in_tier","both_services_pct","online_only_pct","table_only_pct","neither_pct","tier_avg_rating"
"Budget","7114","0.1","48.8","0.0","51.0","3.55"
"Mid-range","3708","4.9","60.1","1.6","33.4","3.62"
"Premium","1215","24.3","14.2","32.2","29.3","3.99"
