"service_type","total_restaurants","pct_of_platform","avg_rating","median_rating","vs_platform_avg","avg_cost","median_cost","avg_votes","also_book_table_pct","quality_score_pct","excellent_pct","poor_pct","unrated_pct","value_score"
"Online Ordering","6359","52.8","3.66","3.70","0.02","475","400","222","7.6","71.2","13.9","5.3","11.6","0.769"
"Dine-in Only","5678","47.2","3.59","3.60","-0.04","507","350","150","8.0","60.2","10.3","4.2","37.8","0.709"
